Revenue,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Class
149841000.0,0.129,0.1252,27.734,31974000.0,0
0.0,0.051,-0.0396,0.4415,-1333486.2306,0
27306000.0,0.0289999999999999,0.0189,7.101,-3350000.0,0
2922600000.0,0.11,0.1391,16.382,560400000.0,1
33740000.0,0.156,0.1342,0.7859999999999999,-3891000.0,0
3585141000.0,0.0559999999999999,0.1363,14.61,195836000.0,0
3831706000.0,-0.039,-0.0517,19.447,242652000.0,0
1004601000.0,0.083,0.0943,15.999,115286000.0,1
717569000.0,0.002,0.2566,0.131,61004000.0,0
197668000.0,-0.069,-0.0801,4.848,26564000.0,0
118000000.0,0.050847457627119,0.0779499999999999,10.419,17000000.0,0
2214956000.0,0.002,0.0291,4.558,-9568000.0,1
166578000.0,-0.059,-0.1538,2.408,8811000.0,1
38000.0,0.051,0.0779499999999999,10.419,-25465000.0,1
403289000.0,-0.032,0.0779499999999999,10.419,21949000.0,1
1297662000.0,0.098,0.1885,14.326,252132000.0,1
301600000.0,-0.012,0.0149,-13.234000000000002,11590000.0,0
1503316000.0,0.077,0.1815,15.451,169038000.0,1
106464000.0,-0.043,-0.0291,2.837,7526000.0,0
1827700000.0,0.009,-0.0436,-3.164,178300000.0,0
78138000.0,-0.136,-0.1318,5.648,-4286000.0,1
0.0,0.051,-0.1884,10.432,-23144921.0,0
3065017000.0,0.039,0.1631,5.732,170642000.0,0
1270163000.0,-0.044,-0.0992,17.660999999999998,8892000.0,1
733632000.0,0.03,0.0685,18.494,38657000.0,1
1204554000.0,0.011,0.0322,12.296,-65534000.0,1
383925000.0,-0.063,-0.1709,4.988,46312000.0,0
434901000.0,-0.1669999999999999,0.0779499999999999,0.1989999999999999,-12626000.0,0
3760118000.0,0.021,0.07,41.003,189673000.0,1
2438913000.0,0.13,0.1401,22.971,422641000.0,1
188832000.0,0.184,0.2158,3.884,38262000.0,1
405263000.0,-0.0139999999999999,-0.0183,8.628,52098000.0,0
15027004.0,0.24,-0.2189,2.753,-4281587.0,0
309260000.0,0.085,0.0518,33.258,66340000.0,1
488749000.0,0.089,0.1185,8.827,64272000.0,1
312942000.0,0.039,0.0957,11.739,7028000.0,0
88758000.0,-0.004,-0.0088,2.629,3700000.0,0
44733000.0,-0.13,-0.0608,37.574,450000.0,0
63548000.0,0.129,0.0731,3.438,18401000.0,1
0.0,0.051,-0.2163,21.575,-19231000.0,0
72215000.0,0.006,0.0102,1.058,3355000.0,0
108663000.0,0.022,0.0247,2.968,4351000.0,0
112537000.0,0.061,0.0578,7.301,15697000.0,1
1092880000.0,0.019,0.0916,14.992,55195000.0,1
144641000.0,0.051,0.0492,5.431,8118000.0,0
92351604.0626,0.0371,0.0919,3.169,86412219.8936,1
305074000.0,0.063,0.1308,11.973,41391000.0,1
1456282000.0,0.068,0.22,26.295,110279000.0,1
4094430.9927,-0.0932,-0.0081,1.6053,-12526634.3826,1
107454000.0,-0.151,-0.1223,5.025,-21600000.0,1
57439000.0,0.209,0.1218,7.244,18183000.0,0
691914000.0,-0.005,-0.2064,0.471,-712000.0,0
262810000.0,-0.002,0.0161,2.958,6894000.0,0
247405000.0,0.114,0.0919,6.266,21668000.0,1
32025423.7288,0.0012,0.0003,2.1525,50514527.845,0
434901000.0,0.051,0.0779499999999999,10.419,-10000000.0,0
66487000.0,0.05,0.0723,2.097,7255000.0,1
41278000.0,0.276,0.1763,17.243,15387000.0,1
61000000.0,0.081967213114754,0.0779499999999999,10.419,6000000.0,0
34520630.0,-0.095,-0.0878,0.98,-3867822.0,0
36901871.0,0.066,0.03,4.584,6693431.0,0
0.0,0.051,-0.0855,4.781000000000001,-9460000.0,0
36370616.0,-0.077,-0.1247,5.608,-1882653.0,0
55608000.0,0.045,0.0758,17.578,4280000.0,1
32427360.7748,-0.023,-0.0338,0.7772,-1136803.8741,1
104872000.0,0.1639999999999999,0.0874,8.536,15690000.0,0
28370000.0,0.14,0.1789,22.991,266000.0,0
2948000.0,0.051,-0.0405,26.908,-9990000.0,1
15417000.0,-0.062,-0.0444,3.996,6773000.0,0
154625000.0,-0.083,-0.0865,18.362,-20271000.0,0
24584000.0,-0.044,-0.1122,1.198,1684000.0,0
5120451.0,-0.042,-0.0365,0.802,-862273.0,1
0.0,0.051,0.0779499999999999,10.419,-6001000.0,0
97979173.3936,0.0331,0.0694,6.4634,79170326.1221,0
27645284.0,-0.0409999999999999,-0.0577,2.07,-3820299.0,1
27444223.0,-0.01,-0.0451,2.385,506522.0,0
15487875.0,-0.083,-0.1013,1.568,2067188.0,0
7596874.0,-0.022,-0.0181,3.059,302364.0,1
71065000.0,-0.186,-0.1643,2.236,-9918000.0,1
91384695.0,-0.001,-0.0027,7.818,-3881373.0,1
24070292.0,0.027,0.091,2.642,1780342.0,0
10333090.0,-0.165,-0.1162,0.73,376943.0,1
17060435.0,0.0819999999999999,0.0852,2.261,700056.0,0
10812000.0,-0.045,-0.053,2.638,-329000.0,0
29205000.0,0.11,0.2498,2.397,4456000.0,0
73769000.0,-0.0069999999999999,-0.0164,3.528,3892000.0,0
0.0,0.051,-0.1265,10.419,-6409697.074,1
0.0,0.051,0.2319,-10.958,-2126000.0,1
4569792000.0,0.053,-0.0875,-15.916,448989000.0,0
2569786000.0,0.06,0.1329,13.7,327942000.0,0
2586037000.0,0.025,0.0725,5.863,236682000.0,0
290541000.0,0.1369999999999999,0.1038,5.586,86905000.0,1
1588528000.0,0.0409999999999999,0.0772,5.629,80491000.0,1
1591188000.0,0.176,0.2549,7.568,278339000.0,0
3084370000.0,0.067,0.1541,3.1660000000000004,219033000.0,1
508134000.0,0.095,0.2223,3.736,134219000.0,1
4240500000.0,0.021,0.0886,3.095,526600000.0,0
3911602000.0,0.087,0.0882,21.705,313200000.0,0
4031100000.0,0.045,0.0667,21.287,154700000.0,0
4540000000.0,0.067,0.0779499999999999,10.419,533000000.0,1
3125881000.0,0.108,0.0962,17.038,635601000.0,1
1998502000.0,0.019,0.0236,4.926,254776000.0,1
3305802000.0,0.025,0.0712,6.049,229856000.0,1
1718231000.0,0.045,0.1479,12.87,84593000.0,0
3424809000.0,0.062,0.2531,14.521,319084000.0,1
2377561000.0,0.0579999999999999,0.1291,7.082000000000001,163882000.0,1
1334951000.0,0.084,0.1672,7.261,152329000.0,0
4116897000.0,0.013,0.0316,22.415,175493000.0,0
242038000.0,0.1119999999999999,0.1863,1.641,54412000.0,1
3086608000.0,0.091,0.1667,11.524,423155000.0,0
379789000.0,0.071,0.0815,8.713,65296000.0,0
1703616000.0,0.049,0.0579,10.026,-113370000.0,0
4442711000.0,0.021,0.1652,4.406000000000001,352006000.0,0
1694584000.0,0.037,0.0514,20.63,-163647000.0,1
2142255000.0,-0.025,-0.1211,3.983,289898000.0,1
945163000.0,0.048,0.2337,7.027,23236000.0,0
4013600000.0,0.039,0.07,13.965,266200000.0,1
2148159000.0,0.04,0.0779499999999999,10.419,58451000.0,0
1198223000.0,-0.016,-0.0109,5.485,-11651000.0,0
1550961000.0,0.012,0.0334,14.1,87521000.0,0
746659000.0,0.057,0.1169,12.698,59889000.0,0
977860000.0,0.015,0.0763,8.891,28535000.0,0
4209200000.0,0.087,0.1436,31.959,235500000.0,0
1003903000.0,0.025,0.0809,4.619,46380000.0,1
1976624000.0,0.051,0.182,11.227,239649000.0,0
255799160.4779,-0.0158,0.1856,-5.3294,-10734258.9603,0
2670573000.0,0.076,0.2022,15.675,327725000.0,1
2271257000.0,0.025,0.1152,5.183,136387000.0,0
1484131000.0,0.06,0.3449,6.324,201022000.0,0
1163489000.0,0.154,0.1781,3.992,262594000.0,1
643163000.0,0.034,-0.1796,-3.651,34000.0,1
4193844000.0,0.089,0.1708,18.245,605969000.0,1
535402000.0,0.059,0.275,2.193,31187000.0,0
1175793000.0,0.065,0.3395,2.37,392323000.0,1
